SAMPLE	normalized_position	All_Reads.normalized_coverage
sample1	0	0.326394
sample1	1	0.43265
sample1	2	0.471097
sample1	3	0.500057
sample1	4	0.651415
sample1	5	0.706451
sample1	6	0.870047
sample1	7	0.874826
sample1	8	0.828309
sample1	9	0.75331
sample1	10	0.714983
sample1	11	0.783048
sample1	12	0.880597
sample1	13	0.858303
sample1	14	0.830352
sample1	15	0.925486
sample1	16	0.952276
sample1	17	1.087363
sample1	18	0.974861
sample1	19	0.927902
sample1	20	0.925309
sample1	21	1.032199
sample1	22	1.058238
sample1	23	0.868408
sample1	24	0.8087
sample1	25	0.843476
sample1	26	0.838342
sample1	27	0.823534
sample1	28	0.8937
sample1	29	0.963686
sample1	30	0.921888
sample1	31	0.946423
sample1	32	0.899976
sample1	33	0.919943
sample1	34	0.873677
sample1	35	0.8447
sample1	36	0.959316
sample1	37	0.974791
sample1	38	0.927141
sample1	39	0.852089
sample1	40	0.881943
sample1	41	0.887513
sample1	42	0.901506
sample1	43	0.813788
sample1	44	0.804425
sample1	45	0.741868
sample1	46	0.743754
sample1	47	0.760174
sample1	48	0.71775
sample1	49	0.679787
sample1	50	0.678727
sample1	51	0.710667
sample1	52	0.772445
sample1	53	0.789533
sample1	54	0.780446
sample1	55	0.85399
sample1	56	0.86107
sample1	57	0.903779
sample1	58	0.890738
sample1	59	0.829327
sample1	60	0.84186
sample1	61	0.808638
sample1	62	0.832332
sample1	63	0.831378
sample1	64	0.812404
sample1	65	0.815831
sample1	66	0.860985
sample1	67	0.86506
sample1	68	0.842337
sample1	69	0.868767
sample1	70	0.926207
sample1	71	0.920162
sample1	72	0.940789
sample1	73	0.974412
sample1	74	1.03886
sample1	75	1.033721
sample1	76	1.120566
sample1	77	1.143584
sample1	78	1.377544
sample1	79	1.441472
sample1	80	1.230223
sample1	81	1.341858
sample1	82	1.33846
sample1	83	1.358924
sample1	84	1.362936
sample1	85	1.317357
sample1	86	1.532317
sample1	87	1.688144
sample1	88	1.882229
sample1	89	1.577897
sample1	90	1.734646
sample1	91	1.994486
sample1	92	1.887718
sample1	93	2.062243
sample1	94	2.141495
sample1	95	1.753029
sample1	96	1.609162
sample1	97	1.250124
sample1	98	1.05286
sample1	99	0.976225
sample1	100	0.536137
sample2	0	0.300495
sample2	1	0.367434
sample2	2	0.353787
sample2	3	0.391171
sample2	4	0.419504
sample2	5	0.41595
sample2	6	0.488406
sample2	7	0.50241
sample2	8	0.485918
sample2	9	0.499293
sample2	10	0.529332
sample2	11	0.524679
sample2	12	0.57117
sample2	13	0.649711
sample2	14	0.645979
sample2	15	0.62163
sample2	16	0.615106
sample2	17	0.606465
sample2	18	0.589071
sample2	19	0.626022
sample2	20	0.646156
sample2	21	0.669453
sample2	22	0.675245
sample2	23	0.699172
sample2	24	0.768462
sample2	25	0.83225
sample2	26	0.89495
sample2	27	0.950689
sample2	28	0.94618
sample2	29	0.91634
sample2	30	0.952477
sample2	31	1.058146
sample2	32	1.127109
sample2	33	1.199933
sample2	34	1.179305
sample2	35	1.101
sample2	36	1.097491
sample2	37	1.133467
sample2	38	1.122873
sample2	39	1.160808
sample2	40	1.18192
sample2	41	1.241849
sample2	42	1.225995
sample2	43	1.190867
sample2	44	1.145517
sample2	45	1.162661
sample2	46	1.197183
sample2	47	1.275922
sample2	48	1.295772
sample2	49	1.299986
sample2	50	1.272718
sample2	51	1.298963
sample2	52	1.308209
sample2	53	1.375435
sample2	54	1.336604
sample2	55	1.316067
sample2	56	1.266633
sample2	57	1.226707
sample2	58	1.110933
sample2	59	1.170983
sample2	60	1.150479
sample2	61	1.198932
sample2	62	1.17881
sample2	63	1.164055
sample2	64	1.185223
sample2	65	1.258056
sample2	66	1.277629
sample2	67	1.308321
sample2	68	1.270229
sample2	69	1.316318
sample2	70	1.294304
sample2	71	1.280162
sample2	72	1.289529
sample2	73	1.242965
sample2	74	1.190963
sample2	75	1.238539
sample2	76	1.198282
sample2	77	1.124851
sample2	78	1.092919
sample2	79	1.102895
sample2	80	1.10637
sample2	81	1.163107
sample2	82	1.222696
sample2	83	1.255536
sample2	84	1.163536
sample2	85	1.108843
sample2	86	1.113642
sample2	87	1.141506
sample2	88	1.169839
sample2	89	1.183871
sample2	90	1.173868
sample2	91	1.133853
sample2	92	1.104763
sample2	93	1.117617
sample2	94	1.038114
sample2	95	0.953558
sample2	96	0.917718
sample2	97	0.825899
sample2	98	0.725087
sample2	99	0.666468
sample2	100	0.574789
