SAMPLE	READ_END	CYCLE	PCT_A	PCT_C	PCT_G	PCT_T	PCT_N
sample1	1	1	19.236209	29.804001	33.663366	17.154981	0.141443
sample1	1	2	28.334681	22.433306	16.835085	32.174616	0.222312
sample1	1	3	28.597413	22.392886	19.280517	29.708973	0.02021
sample1	1	4	25.363783	26.535974	17.582862	30.517381	0
sample1	1	5	36.94422	14.854487	12.287793	35.792239	0.121261
sample1	1	6	31.689572	19.56346	24.595796	23.585287	0.565885
sample1	1	7	31.305578	20.452708	22.069523	26.09135	0.080841
sample1	1	8	28.29426	24.110752	22.756669	24.717057	0.121261
sample1	1	9	18.209378	32.740501	28.415521	20.573969	0.060631
sample1	1	10	31.164107	20.735651	18.371059	29.708973	0.02021
sample1	1	11	25.808407	23.383185	26.414713	24.393694	0
sample1	1	12	27.890057	20.452708	23.848019	27.809216	0
sample1	1	13	25	24.616006	24.656427	25.727567	0
sample1	1	14	24.757478	24.090542	23.504446	27.647534	0
sample1	1	15	27.081649	21.624899	24.434115	26.798707	0.060631
sample1	1	16	29.122878	21.018593	21.059014	28.799515	0
sample1	1	17	28.597413	21.72595	21.362167	28.31447	0
sample1	1	18	28.172999	21.928052	19.886823	30.012126	0
sample1	1	19	28.819725	20.412288	20.392078	30.375909	0
sample1	1	20	28.718674	21.68553	21.119644	28.476152	0
sample1	1	21	27.930477	21.523848	22.089733	28.455942	0
sample1	1	22	27.20291	23.019402	21.382377	28.395311	0
sample1	1	23	27.910267	21.867421	20.270816	29.951496	0
sample1	1	24	29.082458	20.715441	22.130154	28.071948	0
sample1	1	25	28.940986	21.402587	20.594179	29.062247	0
sample1	1	26	27.607114	20.917542	22.372676	29.102668	0
sample1	1	27	27.243331	21.301536	20.088925	31.366209	0
sample1	1	28	29.021827	20.028294	19.886823	31.063056	0
sample1	1	29	28.658044	22.170574	20.109135	29.062247	0
sample1	1	30	30.032336	20.6346	20.230396	29.102668	0
sample1	1	31	26.13177	22.655618	20.917542	30.295069	0
sample1	1	32	26.05093	21.76637	21.139854	31.042846	0
sample1	1	33	27.324171	22.150364	21.76637	28.759095	0
sample1	1	34	26.960388	22.190784	20.897332	29.931285	0.02021
sample1	1	35	27.324171	20.291027	22.8173	29.567502	0
sample1	1	36	26.778496	21.948262	22.433306	28.839935	0
sample1	1	37	27.789006	20.371867	20.897332	30.941795	0
sample1	1	38	27.789006	21.988682	20.998383	29.203719	0.02021
sample1	1	39	27.445432	21.544058	19.60388	31.406629	0
sample1	1	40	26.980598	21.362167	21.240905	30.41633	0
sample1	1	41	28.132579	22.433306	19.624091	29.810024	0
sample1	1	42	27.14228	21.988682	20.594179	30.274859	0
sample1	1	43	27.586904	23.302344	19.947454	29.163298	0
sample1	1	44	27.364592	21.928052	21.099434	29.607922	0
sample1	1	45	26.879547	24.050121	20.533549	28.536783	0
sample1	1	46	27.384802	22.271625	20.897332	29.446241	0
sample1	1	47	28.860146	21.240905	22.332255	27.566694	0
sample1	1	48	27.566694	22.514147	21.139854	28.779305	0
sample1	1	49	28.658044	21.139854	22.130154	28.071948	0
sample1	1	50	25.929669	22.87793	21.78658	29.405821	0
sample1	1	51	28.455942	22.433306	20.109135	29.001617	0
sample1	1	52	28.738884	23.059822	19.987874	28.172999	0.04042
sample1	1	53	28.577203	22.312045	19.785772	29.30477	0.02021
sample1	1	54	27.829426	23.989491	20.371867	27.809216	0
sample1	1	55	28.617623	22.332255	20.371867	28.678254	0
sample1	1	56	27.1827	21.907842	23.322555	27.586904	0
sample1	1	57	26.798707	23.241714	20.432498	29.527082	0
sample1	1	58	27.20291	22.938561	21.74616	28.092158	0.02021
sample1	1	59	27.890057	23.221504	21.483428	27.405012	0
sample1	1	60	27.829426	22.534357	20.250606	29.38561	0
sample1	1	61	26.434923	22.716249	21.867421	28.981407	0
sample1	1	62	27.081649	22.291835	20.230396	30.39612	0
sample1	1	63	28.637833	22.615198	20.553759	28.193209	0
sample1	1	64	28.395311	23.484236	21.079224	27.021019	0.02021
sample1	1	65	27.425222	23.524656	20.6346	28.415521	0
sample1	1	66	26.940178	24.333064	20.957963	27.768795	0
sample1	1	67	28.132579	22.8173	21.443007	27.607114	0
sample1	1	68	27.586904	24.333064	20.533549	27.546483	0
sample1	1	69	29.042037	23.019402	20.776071	27.16249	0
sample1	1	70	27.566694	22.77688	22.271625	27.384802	0
sample1	1	71	29.567502	23.969281	20.291027	26.172191	0
sample1	1	72	27.1827	21.68553	22.958771	28.172999	0
sample1	1	73	27.607114	23.524656	20.67502	28.193209	0
sample1	1	74	28.738884	22.716249	21.988682	26.556184	0
sample1	1	75	27.789006	22.716249	21.827001	27.667745	0
sample1	1	76	28.23363	22.594988	21.422797	27.748585	0
sample1	1	77	28.193209	24.029911	20.533549	27.243331	0
sample1	1	78	26.717866	23.362975	20.957963	28.940986	0.02021
sample1	1	79	26.192401	22.433306	22.675829	28.617623	0.080841
sample1	1	80	27.22312	23.100243	21.119644	28.556993	0
sample1	1	81	26.677445	22.150364	23.484236	27.526273	0.161681
sample1	1	82	28.29426	22.87793	20.978173	27.849636	0
sample1	1	83	28.556993	21.76637	22.069523	27.607114	0
sample1	1	84	28.011318	23.140663	20.856912	27.991108	0
sample1	1	85	27.789006	22.352466	20.149555	29.688763	0.02021
sample1	1	86	28.860146	22.170574	21.503638	27.465643	0
sample1	1	87	28.152789	23.383185	21.523848	26.919968	0.02021
sample1	1	88	28.536783	22.433306	21.584479	27.445432	0
