SAMPLE	QUALITY	COUNT_OF_Q
sample1	2	140129
sample1	5	220
sample1	6	423
sample1	7	2490
sample1	8	3978
sample1	9	2096
sample1	10	3518
sample1	11	1167
sample1	12	637
sample1	13	1655
sample1	14	575
sample1	15	1969
sample1	16	2695
sample1	17	2952
sample1	18	4299
sample1	19	2834
sample1	20	2968
sample1	21	1706
sample1	22	4240
sample1	23	5017
sample1	24	6209
sample1	25	8612
sample1	26	11185
sample1	27	13134
sample1	28	12708
sample1	29	16523
sample1	30	27873
sample1	31	32397
sample1	32	30123
sample1	33	39935
sample1	34	60022
sample1	35	114832
sample1	36	47333
sample1	37	68921
sample1	38	50670
sample1	39	74590
sample1	40	89819
sample1	41	114071
sample2	2	148081
sample2	5	174
sample2	6	431
sample2	7	2744
sample2	8	4133
sample2	9	2132
sample2	10	3389
sample2	11	1069
sample2	12	734
sample2	13	1695
sample2	14	601
sample2	15	1987
sample2	16	2568
sample2	17	3023
sample2	18	4355
sample2	19	2887
sample2	20	3129
sample2	21	1927
sample2	22	4137
sample2	23	5094
sample2	24	6186
sample2	25	8998
sample2	26	11571
sample2	27	13179
sample2	28	12865
sample2	29	17316
sample2	30	27700
sample2	31	32882
sample2	32	30696
sample2	33	39980
sample2	34	59559
sample2	35	111730
sample2	36	46420
sample2	37	68243
sample2	38	50456
sample2	39	73301
sample2	40	88422
sample2	41	111356
