SAMPLE	QUALITY	COUNT_OF_Q
out/rnaseq/sample1	2	140129
out/rnaseq/sample1	5	220
out/rnaseq/sample1	6	423
out/rnaseq/sample1	7	2490
out/rnaseq/sample1	8	3978
out/rnaseq/sample1	9	2096
out/rnaseq/sample1	10	3518
out/rnaseq/sample1	11	1167
out/rnaseq/sample1	12	637
out/rnaseq/sample1	13	1655
out/rnaseq/sample1	14	575
out/rnaseq/sample1	15	1969
out/rnaseq/sample1	16	2695
out/rnaseq/sample1	17	2952
out/rnaseq/sample1	18	4299
out/rnaseq/sample1	19	2834
out/rnaseq/sample1	20	2968
out/rnaseq/sample1	21	1706
out/rnaseq/sample1	22	4240
out/rnaseq/sample1	23	5017
out/rnaseq/sample1	24	6209
out/rnaseq/sample1	25	8612
out/rnaseq/sample1	26	11185
out/rnaseq/sample1	27	13134
out/rnaseq/sample1	28	12708
out/rnaseq/sample1	29	16523
out/rnaseq/sample1	30	27873
out/rnaseq/sample1	31	32397
out/rnaseq/sample1	32	30123
out/rnaseq/sample1	33	39935
out/rnaseq/sample1	34	60022
out/rnaseq/sample1	35	114832
out/rnaseq/sample1	36	47333
out/rnaseq/sample1	37	68921
out/rnaseq/sample1	38	50670
out/rnaseq/sample1	39	74590
out/rnaseq/sample1	40	89819
out/rnaseq/sample1	41	114071
out/rnaseq/sample2	2	148081
out/rnaseq/sample2	5	174
out/rnaseq/sample2	6	431
out/rnaseq/sample2	7	2744
out/rnaseq/sample2	8	4133
out/rnaseq/sample2	9	2132
out/rnaseq/sample2	10	3389
out/rnaseq/sample2	11	1069
out/rnaseq/sample2	12	734
out/rnaseq/sample2	13	1695
out/rnaseq/sample2	14	601
out/rnaseq/sample2	15	1987
out/rnaseq/sample2	16	2568
out/rnaseq/sample2	17	3023
out/rnaseq/sample2	18	4355
out/rnaseq/sample2	19	2887
out/rnaseq/sample2	20	3129
out/rnaseq/sample2	21	1927
out/rnaseq/sample2	22	4137
out/rnaseq/sample2	23	5094
out/rnaseq/sample2	24	6186
out/rnaseq/sample2	25	8998
out/rnaseq/sample2	26	11571
out/rnaseq/sample2	27	13179
out/rnaseq/sample2	28	12865
out/rnaseq/sample2	29	17316
out/rnaseq/sample2	30	27700
out/rnaseq/sample2	31	32882
out/rnaseq/sample2	32	30696
out/rnaseq/sample2	33	39980
out/rnaseq/sample2	34	59559
out/rnaseq/sample2	35	111730
out/rnaseq/sample2	36	46420
out/rnaseq/sample2	37	68243
out/rnaseq/sample2	38	50456
out/rnaseq/sample2	39	73301
out/rnaseq/sample2	40	88422
out/rnaseq/sample2	41	111356
