SAMPLE	normalized_position	All_Reads.normalized_coverage
out/rnaseq/sample1	0	0.326394
out/rnaseq/sample1	1	0.43265
out/rnaseq/sample1	2	0.471097
out/rnaseq/sample1	3	0.500057
out/rnaseq/sample1	4	0.651415
out/rnaseq/sample1	5	0.706451
out/rnaseq/sample1	6	0.870047
out/rnaseq/sample1	7	0.874826
out/rnaseq/sample1	8	0.828309
out/rnaseq/sample1	9	0.75331
out/rnaseq/sample1	10	0.714983
out/rnaseq/sample1	11	0.783048
out/rnaseq/sample1	12	0.880597
out/rnaseq/sample1	13	0.858303
out/rnaseq/sample1	14	0.830352
out/rnaseq/sample1	15	0.925486
out/rnaseq/sample1	16	0.952276
out/rnaseq/sample1	17	1.087363
out/rnaseq/sample1	18	0.974861
out/rnaseq/sample1	19	0.927902
out/rnaseq/sample1	20	0.925309
out/rnaseq/sample1	21	1.032199
out/rnaseq/sample1	22	1.058238
out/rnaseq/sample1	23	0.868408
out/rnaseq/sample1	24	0.8087
out/rnaseq/sample1	25	0.843476
out/rnaseq/sample1	26	0.838342
out/rnaseq/sample1	27	0.823534
out/rnaseq/sample1	28	0.8937
out/rnaseq/sample1	29	0.963686
out/rnaseq/sample1	30	0.921888
out/rnaseq/sample1	31	0.946423
out/rnaseq/sample1	32	0.899976
out/rnaseq/sample1	33	0.919943
out/rnaseq/sample1	34	0.873677
out/rnaseq/sample1	35	0.8447
out/rnaseq/sample1	36	0.959316
out/rnaseq/sample1	37	0.974791
out/rnaseq/sample1	38	0.927141
out/rnaseq/sample1	39	0.852089
out/rnaseq/sample1	40	0.881943
out/rnaseq/sample1	41	0.887513
out/rnaseq/sample1	42	0.901506
out/rnaseq/sample1	43	0.813788
out/rnaseq/sample1	44	0.804425
out/rnaseq/sample1	45	0.741868
out/rnaseq/sample1	46	0.743754
out/rnaseq/sample1	47	0.760174
out/rnaseq/sample1	48	0.71775
out/rnaseq/sample1	49	0.679787
out/rnaseq/sample1	50	0.678727
out/rnaseq/sample1	51	0.710667
out/rnaseq/sample1	52	0.772445
out/rnaseq/sample1	53	0.789533
out/rnaseq/sample1	54	0.780446
out/rnaseq/sample1	55	0.85399
out/rnaseq/sample1	56	0.86107
out/rnaseq/sample1	57	0.903779
out/rnaseq/sample1	58	0.890738
out/rnaseq/sample1	59	0.829327
out/rnaseq/sample1	60	0.84186
out/rnaseq/sample1	61	0.808638
out/rnaseq/sample1	62	0.832332
out/rnaseq/sample1	63	0.831378
out/rnaseq/sample1	64	0.812404
out/rnaseq/sample1	65	0.815831
out/rnaseq/sample1	66	0.860985
out/rnaseq/sample1	67	0.86506
out/rnaseq/sample1	68	0.842337
out/rnaseq/sample1	69	0.868767
out/rnaseq/sample1	70	0.926207
out/rnaseq/sample1	71	0.920162
out/rnaseq/sample1	72	0.940789
out/rnaseq/sample1	73	0.974412
out/rnaseq/sample1	74	1.03886
out/rnaseq/sample1	75	1.033721
out/rnaseq/sample1	76	1.120566
out/rnaseq/sample1	77	1.143584
out/rnaseq/sample1	78	1.377544
out/rnaseq/sample1	79	1.441472
out/rnaseq/sample1	80	1.230223
out/rnaseq/sample1	81	1.341858
out/rnaseq/sample1	82	1.33846
out/rnaseq/sample1	83	1.358924
out/rnaseq/sample1	84	1.362936
out/rnaseq/sample1	85	1.317357
out/rnaseq/sample1	86	1.532317
out/rnaseq/sample1	87	1.688144
